photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
5.000000000000000104e-04,1.752588015350398543e+00,5.929418507615904588e+01,2.664781639326767593e+00,2.706953241052195267e+02
1.000000000000000021e-03,1.748607429523847401e+00,3.783585585364741632e+02,1.730267654275631983e+01,1.729819187932451086e+03
5.000000000000000104e-03,1.671945920676895403e+00,3.787871498129714837e+03,2.325321570502393058e+02,1.781465587185508775e+04
1.000000000000000021e-02,1.653053895003547824e+00,7.317570401487384515e+03,4.784679560439114994e+02,3.466017099574697932e+04
5.000000000000000278e-02,1.664286735355058555e+00,5.024089652825338271e+04,3.165300335052133960e+03,2.369661333345812745e+05
1.000000000000000056e-01,1.659517717449799923e+00,1.176758392498413741e+05,7.532669943484347641e+03,5.560249509400655515e+05
1.499999999999999944e-01,1.637697814775385119e+00,2.215684556824736937e+05,1.521681809435008290e+04,1.055583894015653059e+06
2.000000000000000111e-01,1.644144490835862227e+00,2.543302447940602142e+05,1.711419687363981939e+04,1.208711598628460895e+06
2.500000000000000000e-01,1.646387971036786135e+00,3.191290111658411333e+05,2.132110982486939974e+04,1.515383788013817742e+06
2.999999999999999889e-01,1.653032543760005968e+00,3.345661348874516552e+05,2.187752295745053925e+04,1.584708056408116128e+06
4.000000000000000222e-01,1.644280291538050998e+00,4.829500933479347150e+05,3.248423908712673074e+04,2.295115945412693080e+06
5.000000000000000000e-01,1.649060697023946087e+00,5.112322277651345939e+05,3.386322591104634193e+04,2.425136446031040046e+06
