eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-02,1.000000000000000021e-02,-2.751177476221293786e-02,2.559295426526265160e+01,2.667899455085072447e+01,3.307089382341842452e+02
3.584210526315789735e-02,3.584210526315789735e-02,-9.738388997440963757e-02,1.473072877915148240e+02,1.711469188606592695e+02,2.050836398800548523e+03
6.168421052631579277e-02,6.168421052631579277e-02,-1.652310547460998646e-01,2.817854376377315475e+02,3.654487770642101623e+02,4.241916596463834139e+03
8.752631578947368818e-02,8.752631578947368818e-02,-2.307538246458456788e-01,4.030703813855841986e+02,5.844363116029730918e+02,6.584539460115490328e+03
1.133684210526315767e-01,1.133684210526315767e-01,-2.936892255551348807e-01,5.022258610834693400e+02,8.154696827807100590e+02,8.935381606561053559e+03
1.392105263157894790e-01,1.392105263157894790e-01,-3.538147044270312791e-01,5.769117933667267835e+02,1.050738442740243727e+03,1.121920826256597138e+04
1.650526315789473952e-01,1.650526315789473952e-01,-4.109506870473401685e-01,6.279229291532388970e+02,1.285029270186455960e+03,1.339567345463952734e+04
1.908947368421052837e-01,1.908947368421052837e-01,-4.649617211812825945e-01,6.575720529153114740e+02,1.514742032040690901e+03,1.544430454737349282e+04
2.167368421052631722e-01,2.167368421052631722e-01,-5.157562613996332646e-01,6.688301174369588580e+02,1.737362222398601034e+03,1.735648076328441311e+04
2.425789473684210606e-01,2.425789473684210606e-01,-5.632852188408419281e-01,6.648443942098574553e+02,1.951142807651203611e+03,1.913074944783094543e+04
2.684210526315789491e-01,2.684210526315789491e-01,-6.075394507833993263e-01,6.486666887200002520e+02,2.154896822907073329e+03,2.076995008011848404e+04
2.942631578947368376e-01,2.942631578947368376e-01,-6.485463988711268613e-01,6.231055300334775211e+02,2.347854599278527076e+03,2.227939903619360121e+04
3.201052631578947816e-01,3.201052631578947816e-01,-6.863661009046304606e-01,5.906538537770173889e+02,2.529561528157346856e+03,2.366573018022047836e+04
3.459473684210526701e-01,3.459473684210526701e-01,-7.210868007837236693e-01,5.534631258265812903e+02,2.699802681692745864e+03,2.493615497603404947e+04
3.717894736842105585e-01,3.717894736842105585e-01,-7.528203672223389153e-01,5.133457735868947793e+02,2.858545999679195575e+03,2.609799671484435021e+04
3.976315789473684470e-01,3.976315789473684470e-01,-7.816977077404384522e-01,4.717943189021929129e+02,3.005898751293825626e+03,2.715840591368981040e+04
4.234736842105263355e-01,4.234736842105263355e-01,-8.078643338455796519e-01,4.300096876379255946e+02,3.142073747401509991e+03,2.812419583920482546e+04
4.493157894736842239e-01,4.493157894736842239e-01,-8.314761997031508978e-01,3.889338065011880303e+02,3.267362872271563447e+03,2.900175730869016479e+04
4.751578947368421124e-01,4.751578947368421124e-01,-8.526959028930160001e-01,3.492833384586980401e+02,3.382116207691963155e+03,2.979702511128966216e+04
5.010000000000000009e-01,5.010000000000000009e-01,-8.716893043181462852e-01,3.115825746599905983e+02,3.486725492010356447e+03,3.051547721214187186e+04
