eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-02,1.000000000000000021e-02,-4.965654005363083490e-02,1.764178635088484333e-03,1.902449182654479282e-03,2.332769518896598074e-02
3.584210526315789735e-02,3.584210526315789735e-02,1.774034697390177925e-02,1.047696719471485557e-02,1.020302939640352347e-02,1.293625167506952944e-01
6.168421052631579277e-02,6.168421052631579277e-02,8.669593974294528826e-02,2.205222003792572591e-02,1.941325102688145135e-02,2.550081947775781344e-01
8.752631578947368818e-02,8.752631578947368818e-02,1.572943198359721684e-01,3.533444010975499150e-02,2.813068913398348442e-02,3.836756668199949871e-01
1.133684210526315767e-01,1.133684210526315767e-01,2.292770263068980574e-01,4.976818707106121092e-02,3.584451279893311609e-02,5.087587827282608055e-01
1.392105263157894790e-01,1.392105263157894790e-01,3.023173755942386021e-01,6.500353442843814777e-02,4.236884686951471191e-02,6.272345898005721176e-01
1.650526315789473952e-01,1.650526315789473952e-01,3.760590867725841502e-01,8.079293450065481996e-02,4.767344407537042750e-02,7.378127637949781770e-01
1.908947368421052837e-01,1.908947368421052837e-01,4.501310027893609678e-01,9.694951337799545543e-02,5.180878306518047621e-02,8.401334180472164181e-01
2.167368421052631722e-01,2.167368421052631722e-01,5.241569510683867783e-01,1.133263509951563941e-01,5.486702247421020723e-02,9.343532016042284116e-01
2.425789473684210606e-01,2.425789473684210606e-01,5.977641749778183078e-01,1.298047921186571141e-01,5.695988576376262436e-02,1.020911064866965923e+00
2.684210526315789491e-01,2.684210526315789491e-01,6.705910194097630672e-01,1.462872439486387344e-01,5.820562112198631594e-02,1.100388845775823299e+00
2.942631578947368376e-01,2.942631578947368376e-01,7.422938932562408443e-01,1.626924366205525219e-01,5.872122718523394014e-02,1.173426287402089541e+00
3.201052631578947816e-01,3.201052631578947816e-01,8.125533643704609954e-01,1.789521397038973949e-01,5.861789241827501662e-02,1.240669077091036687e+00
3.459473684210526701e-01,3.459473684210526701e-01,8.810792262624770332e-01,1.950087905142239009e-01,5.799845740717021747e-02,1.302737652112972766e+00
3.717894736842105585e-01,3.717894736842105585e-01,9.476144146260013779e-01,2.108137205877561315e-01,5.695617137548742576e-02,1.360209353352121342e+00
3.976315789473684470e-01,3.976315789473684470e-01,1.011937711381169169e+00,2.263257899638705106e-01,5.557427964597665832e-02,1.413609248529456019e+00
4.234736842105263355e-01,4.234736842105263355e-01,1.073865238123726362e+00,2.415103087428624451e-01,5.392613950185996818e-02,1.463406585471709986e+00
4.493157894736842239e-01,4.493157894736842239e-01,1.133250800496287569e+00,2.563381668345302011e-01,5.207566331497194556e-02,1.510014859152396749e+00
4.751578947368421124e-01,4.751578947368421124e-01,1.189985194468443863e+00,2.707851184097409547e-01,5.007795385638309088e-02,1.553794136775370482e+00
5.010000000000000009e-01,5.010000000000000009e-01,1.243994621803298006e+00,2.848311839153158109e-01,4.798004077769760234e-02,1.595054722871928288e+00
